name,physical_address,postal_address,phone_number
Laynhapuy Homelands School,"Galpu Rd, NT, Yirrkala","PMB 747, NT, Nhulunbuy, 0881",(08) 898 71224
Leanyer Pre School,"114 Leanyer Dr, NT, Leanyer",",",(08) 8927 4022
Leanyer Primary School,"114 Leanyer Drive,, NT, Leanyer, 0812","114 Leanyer Drive, NT, LEANYER, 0812",(08) 8927 4022
Living Waters Lutheran School,"Cnr Albrecht Dr & Kramer St, NT, Alice Springs","PO Box 8869, NT, Alice Springs, 0871",(08) 8950 0700
Ltyentye Apurte CEC,"N/A, NT, Santa Teresa (Ltyenty Apurte)","Santa Teresa, PMB 221, NT, via A/Springs, 0871",(08) 8956 0937
Ludmilla Pre School,"41 Bagot Rd, NT, Ludmilla",",",(08) 898 37889
Ludmilla Primary School,"41 Bagot Rd, NT, Ludmilla, 0820","PO Box 39945, NT, WINNELLIE, 0821",(08) 898 37888
MacFarlane Pre School,"Grevillea Rd, NT, Katherine East",",",(08) 8972 3069
MacFarlane Primary School,"42 Grevillea Rd, NT, Katherine East, 0850","42 Grevillea Road, NT, KATHERINE EAST, 0850",(08) 896 51700
Mackillop Catholic College,"285 Farrar Boulevard, NT, Johnston","P O Box 2608, NT, Palmerston, 0831",08 8930 5757
Malak Pre School,"45 Malak Cres, NT, Malak",",",(08) 899 77600
Malak Primary School,"45 Malak Cres, NT, Malak, 0812","45 Malak Crescent, NT, MALAK, 0812",(08) 899 77600
Mamaruni School,"N/A, NT, Minjilang (Croker Is)","PMB 47, NT, via Winnellie, 0822",(08) 8979 0255
Maningrida College,"n/a, NT, Maningrida, 0822","PMB 67, NT, via Winnellie, 0822",(08) 8979 5950
Manunda Terrace Pre School,"31 Manunda Tce, NT, Karama",",",(08) 899 77366
Manunda Terrace Primary School,"31 Manunda Tce, NT, Karama, 0812","31 Manunda Tce, NT, KARAMA, 0812",(08) 899 77366
Manyallaluk School,"N/A, NT, Manyallaluk (Eva Valley)","PO Box 271, Nt, Katherine, 0851",(08) 8975 4438
Mapuru Yirralka College,"Dhabulu Rd, NT, Mapuru, NT 0822","PMB 301, NT, Winnellie, 0821",(08) 8970 4996
Marrara Christian School,"110 Amy Johnson Ave, NT, Marrara","PO Box 84, NT, Karama, 0812",(08) 8920 2000
Mataranka School,"Roper Terrace, NT, Mataranka, 0852","PO Box 4022, NT, Mataranka, 0852",(08) 8975 4543
Mbunghara School,"N/A, NT, Mbunghara","PMB 242, NT, via Alice Springs, 0872",(08) 8956 8503
